parcel_id,GRIDID
0,82440
1,82440
2,82637
3,82637
4,82441
5,82441
6,82637
7,82638
8,82638
9,89506
10,89703
11,94451
12,94648
13,94648
14,97359
15,97359
16,106458
17,106458
18,100722
19,100723
20,100310
21,100310
22,100311
23,100311
24,100311
25,100312
26,100312
27,100312
28,100312
29,100312
30,100313
31,100508
32,100508
33,100508
34,100509
35,100510
36,100704
37,101294
38,101885
39,102082
40,102476
41,102673
42,99115
43,99116
44,99115
45,99116
46,99116
47,99312
48,99313
49,99312
50,99313
51,99510
52,99116
53,99117
54,99313
55,99314
56,99314
57,99313
58,99510
59,99314
60,99314
61,99512
62,99510
63,99510
64,99510
65,99511
66,99511
67,99707
68,99707
69,99707
70,99707
71,99708
72,99511
73,99708
74,99512
75,99511
76,99512
77,99708
78,99708
79,99709
80,99708
81,99709
82,99512
83,99512
84,99513
85,99513
86,99513
87,99709
88,99709
89,99710
90,99710
91,99710
92,99513
93,99710
94,99514
95,99514
96,99711
97,99710
98,99710
99,99711
100,99711
101,99711
102,99515
103,99515
104,99515
105,99515
106,99515
107,99712
108,99712
109,99712
110,99712
111,99712
112,99516
113,99516
114,99516
115,99516
116,99516
117,99713
118,99713
119,99713
120,99713
121,99910
122,99904
123,99904
124,99905
125,99905
126,99905
127,99906
128,99906
129,99906
130,99906
131,99906
132,100102
133,100102
134,100103
135,100103
136,100300
137,100103
138,100103
139,100103
140,100300
141,100300
142,99907
143,99907
144,99907
145,99908
146,99908
147,100104
148,100104
149,100104
150,100105
151,100105
152,100104
153,100301
154,100301
155,100105
156,100302
157,100301
158,100498
159,100302
160,100498
161,100499
162,99908
163,99908
164,99909
165,99909
166,99909
167,100105
168,100105
169,100106
170,100106
171,100106
172,99910
173,99910
174,99910
175,99910
176,99910
177,100107
178,100107
179,100107
180,100107
181,100107
182,100302
183,100302
184,100303
185,100303
186,100303
187,100302
188,100499
189,100500
190,100303
191,100500
192,100304
193,100304
194,100304
195,100304
196,100304
197,100304
198,100501
199,100501
200,100304
201,100501
202,101876
203,101876
204,101876
205,102073
206,102073
207,102073
208,102073
209,101876
210,101877
211,101877
212,102074
213,102074
214,102074
215,102074
216,101878
217,102075
218,102075
219,102075
220,102076
221,102075
222,102076
223,102076
224,102076
225,102076
226,102076
227,102077
228,102077
229,102077
230,102077
231,101679
232,101679
233,101876
234,101876
235,101679
236,101680
237,101680
238,101877
239,101877
240,101680
241,101680
242,101681
243,101681
244,101681
245,101877
246,101877
247,101878
248,101878
249,101878
250,101682
251,101682
252,101682
253,101682
254,101879
255,101879
256,101879
257,101879
258,101879
259,101683
260,101683
261,101683
262,101683
263,101683
264,101880
265,101880
266,101880
267,101880
268,101881
269,101482
270,101482
271,101482
272,101679
273,101482
274,101482
275,101286
276,101483
277,101483
278,101483
279,101483
280,101483
281,101287
282,101287
283,101287
284,101288
285,101288
286,101288
287,101484
288,101484
289,101484
290,101484
291,101485
292,101484
293,101485
294,100699
295,100895
296,100896
297,101092
298,101092
299,101092
300,101091
301,101092
302,101289
303,101092
304,101092
305,101092
306,101288
307,101289
308,101289
309,101289
310,101289
311,101289
312,101485
313,101485
314,101486
315,101486
316,101486
317,101486
318,101486
319,100498
320,100499
321,100696
322,100695
323,100696
324,100499
325,100500
326,100697
327,100696
328,100697
329,100697
330,100500
331,100500
332,100697
333,100697
334,100697
335,100501
336,100501
337,100502
338,100698
339,100698
340,100698
341,100893
342,100893
343,100893
344,100893
345,100893
346,101090
347,101286
348,101090
349,101090
350,101090
351,101287
352,100894
353,100894
354,100894
355,100894
356,100895
357,100895
358,100894
359,101091
360,101091
361,100894
362,101091
363,101091
364,100502
365,100502
366,100503
367,100503
368,100699
369,100699
370,100700
371,100700
372,100503
373,100503
374,100504
375,100504
376,100700
377,100700
378,100701
379,100701
380,100699
381,100896
382,100700
383,100897
384,100896
385,100896
386,100897
387,100897
388,100700
389,100897
390,100701
391,100898
392,100897
393,100897
394,100898
395,100898
396,101093
397,101093
398,101094
399,101094
400,101290
401,101290
402,101291
403,101291
404,101094
405,101094
406,101095
407,101095
408,101291
409,101291
410,101292
411,101292
412,101095
413,101096
414,101292
415,101293
416,101096
417,101096
418,101293
419,101293
420,101293
421,101293
422,101490
423,101490
424,101293
425,101491
426,101490
427,101491
428,101290
