;TAZID,;CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,CO_NAME
1,30001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
2,30002,14,40,2.857142857142857,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,BOX ELDER
3,30003,23,67,2.9130434782608696,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,BOX ELDER
4,30004,1,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
5,30005,61,196,3.2131147540983607,2,0,0,2,12,0,0,0,0,0,0,2,0,0,0,7,3,BOX ELDER
6,30006,3,9,3.0,8,0,8,0,9,0,0,0,8,0,0,0,0,0,0,1,0,BOX ELDER
7,30007,38,108,2.8421052631578947,34,2,26,6,253,2,0,0,26,0,0,0,6,212,0,4,3,BOX ELDER
8,30008,48,153,3.1875,55,17,0,38,62,17,0,0,0,36,0,0,2,0,0,4,3,BOX ELDER
9,30009,14,41,2.9285714285714284,86,0,86,0,89,0,0,0,86,0,0,0,0,0,0,2,1,BOX ELDER
10,30010,21,60,2.857142857142857,89,0,89,0,92,0,0,0,89,0,0,0,0,0,0,2,1,BOX ELDER
11,30011,8,24,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
12,30012,17,51,3.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,BOX ELDER
13,30013,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
14,30014,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
15,30015,1,3,3.0,244,0,236,8,295,0,0,96,140,0,0,0,8,48,0,3,0,BOX ELDER
16,30016,1,3,3.0,97,0,77,20,104,0,0,6,71,0,0,0,20,0,0,7,0,BOX ELDER
17,30017,3,10,3.333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,BOX ELDER
18,30018,0,0,0.0,617,0,617,0,624,0,0,411,206,0,0,0,0,0,0,7,0,BOX ELDER
19,30019,233,750,3.218884120171674,25,15,9,1,51,15,0,0,9,1,0,0,0,0,0,15,11,BOX ELDER
20,30020,158,387,2.449367088607595,114,12,61,41,138,12,0,59,2,0,0,0,41,0,0,14,10,BOX ELDER
21,30021,0,0,0.0,376,0,376,0,381,0,0,339,37,0,0,0,0,0,0,5,0,BOX ELDER
22,30022,2,6,3.0,8,0,8,0,8,0,0,8,0,0,0,0,0,0,0,0,0,BOX ELDER
23,30023,3,10,3.333333333333333,46,0,46,0,47,0,0,20,26,0,0,0,0,0,0,1,0,BOX ELDER
24,30024,138,443,3.210144927536232,2,0,0,2,16,0,0,0,0,0,0,1,1,0,0,8,6,BOX ELDER
25,30025,313,1008,3.220447284345048,134,5,2,127,182,5,0,0,2,1,107,15,4,0,0,28,20,BOX ELDER
26,30026,211,577,2.734597156398104,182,20,29,133,213,19,1,11,18,0,48,67,18,0,0,19,12,BOX ELDER
27,30027,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
28,30028,1,3,3.0,69,0,69,0,73,0,0,69,0,0,0,0,0,0,0,4,0,BOX ELDER
29,30029,241,742,3.078838174273859,2,0,2,0,25,0,0,0,2,0,0,0,0,0,0,13,10,BOX ELDER
30,30030,301,675,2.242524916943521,96,13,8,75,147,13,0,0,8,41,0,26,8,0,0,30,21,BOX ELDER
31,30031,228,535,2.3464912280701755,217,75,69,73,250,5,70,69,0,39,0,0,34,0,0,20,13,BOX ELDER
32,30032,117,318,2.717948717948718,2,0,2,0,20,0,0,0,2,0,0,0,0,0,0,10,8,BOX ELDER
33,30033,169,397,2.3491124260355027,14,0,13,1,36,0,0,0,13,1,0,0,0,0,0,13,9,BOX ELDER
34,30034,208,568,2.730769230769231,19,2,12,5,47,2,0,12,0,5,0,0,0,0,0,16,12,BOX ELDER
35,30035,291,734,2.52233676975945,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,24,17,BOX ELDER
36,30036,81,199,2.45679012345679,9,0,9,0,22,0,0,2,7,0,0,0,0,0,0,7,6,BOX ELDER
37,30037,0,0,0.0,127,0,117,10,127,0,0,0,117,0,0,0,10,0,0,0,0,BOX ELDER
38,30038,0,0,0.0,1279,0,1254,25,1502,0,0,1254,0,0,22,3,0,0,0,223,0,BOX ELDER
39,30039,62,191,3.0806451612903225,133,17,0,116,143,17,0,0,0,0,0,3,113,0,0,7,3,BOX ELDER
40,30040,303,681,2.247524752475248,271,38,20,213,330,36,2,0,20,58,83,23,49,0,0,36,23,BOX ELDER
41,30041,112,253,2.258928571428572,335,208,0,127,358,208,0,0,0,11,0,21,95,0,0,15,8,BOX ELDER
42,30042,68,152,2.235294117647059,70,0,0,70,81,0,0,0,0,3,0,0,67,0,0,7,4,BOX ELDER
43,30043,200,504,2.52,77,0,2,75,107,0,0,0,2,0,40,35,0,0,0,18,12,BOX ELDER
44,30044,103,303,2.941747572815534,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,11,8,BOX ELDER
45,30045,93,273,2.935483870967742,39,0,0,39,47,0,0,0,0,36,0,3,0,0,0,5,3,BOX ELDER
46,30046,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
47,30047,2,6,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
