;TAZID,;CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,CO_NAME
1,30001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
2,30002,16,41,2.5625,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,BOX ELDER
3,30003,26,69,2.6538461538461537,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,BOX ELDER
4,30004,1,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
5,30005,67,204,3.044776119402985,2,0,0,2,14,0,0,0,0,0,0,2,0,0,0,8,4,BOX ELDER
6,30006,4,10,2.5,8,0,8,0,9,0,0,0,8,0,0,0,0,0,0,1,0,BOX ELDER
7,30007,41,113,2.756097560975609,36,2,28,6,254,2,0,0,28,0,0,0,6,209,0,5,4,BOX ELDER
8,30008,52,159,3.0576923076923075,56,18,0,38,65,18,0,0,0,36,0,0,2,0,0,5,4,BOX ELDER
9,30009,16,43,2.6875,95,0,95,0,98,0,0,0,95,0,0,0,0,0,0,2,1,BOX ELDER
10,30010,23,63,2.739130434782609,98,0,98,0,101,0,0,0,98,0,0,0,0,0,0,2,1,BOX ELDER
11,30011,9,24,2.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
12,30012,18,53,2.9444444444444446,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,BOX ELDER
13,30013,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
14,30014,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
15,30015,1,3,3.0,266,0,257,9,316,0,0,103,154,0,0,0,9,47,0,3,0,BOX ELDER
16,30016,1,3,3.0,106,0,85,21,114,0,0,7,78,0,0,0,21,0,0,8,0,BOX ELDER
17,30017,4,11,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,BOX ELDER
18,30018,0,0,0.0,667,0,667,0,675,0,0,439,228,0,0,0,0,0,0,8,0,BOX ELDER
19,30019,256,779,3.04296875,28,16,11,1,57,16,0,0,11,1,0,0,0,0,0,17,12,BOX ELDER
20,30020,173,402,2.3236994219653178,121,12,65,44,148,12,0,63,2,0,0,0,44,0,0,16,11,BOX ELDER
21,30021,0,0,0.0,403,0,403,0,409,0,0,362,41,0,0,0,0,0,0,6,0,BOX ELDER
22,30022,2,6,3.0,8,0,8,0,8,0,0,8,0,0,0,0,0,0,0,0,0,BOX ELDER
23,30023,4,11,2.75,51,0,51,0,52,0,0,22,29,0,0,0,0,0,0,1,0,BOX ELDER
24,30024,151,460,3.04635761589404,2,0,0,2,17,0,0,0,0,0,0,1,1,0,0,9,6,BOX ELDER
25,30025,319,963,3.052478134110787,141,5,2,134,195,5,0,0,2,1,112,17,4,0,0,32,22,BOX ELDER
26,30026,207,515,2.593073593073593,197,21,32,144,232,20,1,12,20,0,51,74,19,0,0,22,13,BOX ELDER
27,30027,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
28,30028,1,3,3.0,73,0,73,0,78,0,0,73,0,0,0,0,0,0,0,5,0,BOX ELDER
29,30029,252,735,2.9204545454545454,2,0,2,0,28,0,0,0,2,0,0,0,0,0,0,15,11,BOX ELDER
30,30030,306,618,2.1272727272727274,101,14,8,79,157,14,0,0,8,41,0,29,9,0,0,33,23,BOX ELDER
31,30031,237,520,2.2329317269076303,224,75,74,75,262,5,70,74,0,39,0,0,36,0,0,23,15,BOX ELDER
32,30032,104,247,2.5859375,2,0,2,0,22,0,0,0,2,0,0,0,0,0,0,11,9,BOX ELDER
33,30033,161,328,2.227027027027027,16,0,15,1,40,0,0,0,15,1,0,0,0,0,0,14,10,BOX ELDER
34,30034,204,506,2.587719298245614,20,2,13,5,51,2,0,13,0,5,0,0,0,0,0,18,13,BOX ELDER
35,30035,295,678,2.38871473354232,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,27,19,BOX ELDER
36,30036,89,206,2.3146067415730336,9,0,9,0,23,0,0,2,7,0,0,0,0,0,0,8,6,BOX ELDER
37,30037,0,0,0.0,140,0,129,11,140,0,0,0,129,0,0,0,11,0,0,0,0,BOX ELDER
38,30038,0,0,0.0,1367,0,1341,26,1617,0,0,1341,0,0,23,3,0,0,0,250,0,BOX ELDER
39,30039,68,199,2.926470588235294,141,18,0,123,153,18,0,0,0,0,0,3,120,0,0,8,4,BOX ELDER
40,30040,308,623,2.1295180722891565,287,41,22,224,352,39,2,0,22,59,87,25,53,0,0,40,25,BOX ELDER
41,30041,123,263,2.138211382113821,356,220,0,136,382,220,0,0,0,11,0,23,102,0,0,17,9,BOX ELDER
42,30042,74,158,2.135135135135135,75,0,0,75,88,0,0,0,0,3,0,0,72,0,0,8,5,BOX ELDER
43,30043,195,440,2.3926940639269407,83,0,2,81,116,0,0,0,2,0,42,39,0,0,0,20,13,BOX ELDER
44,30044,101,279,2.7876106194690267,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,13,8,BOX ELDER
45,30045,102,284,2.784313725490196,39,0,0,39,49,0,0,0,0,36,0,3,0,0,0,6,4,BOX ELDER
46,30046,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
47,30047,2,6,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
48,30048,10,28,2.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,BOX ELDER
49,30049,0,0,0.0,111,105,0,6,115,77,28,0,0,0,3,0,3,0,0,4,0,BOX ELDER
50,30050,4,11,2.75,276,1,54,221,746,1,0,11,43,33,139,45,4,0,0,470,0,BOX ELDER
51,30051,6,15,2.5,88,0,51,37,101,0,0,10,41,25,0,12,0,0,0,13,0,BOX ELDER
52,30052,57,119,2.087719298245614,1719,0,204,1515,1759,0,0,204,0,0,0,23,1492,0,0,36,4,BOX ELDER
53,30053,262,534,2.08029197080292,1351,334,73,944,1410,296,38,6,67,64,365,60,455,0,0,43,16,BOX ELDER
54,30054,147,419,2.861635220125786,640,54,18,568,679,12,42,17,1,92,236,73,167,0,0,27,12,BOX ELDER
55,30055,162,447,2.8548387096774195,233,0,1,232,264,0,0,1,0,3,214,0,15,0,0,20,11,BOX ELDER
56,30056,44,121,2.75,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,2,BOX ELDER
57,30057,58,163,2.810344827586207,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,7,5,BOX ELDER
58,30058,0,0,0.0,78,0,78,0,98,0,0,78,0,0,0,0,0,0,0,20,0,BOX ELDER
