;TAZID,;CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,CO_NAME
1,30001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
2,30002,14,39,2.7857142857142856,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,BOX ELDER
3,30003,23,65,2.8260869565217392,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,BOX ELDER
4,30004,1,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
5,30005,59,193,3.2711864406779663,2,0,0,2,12,0,0,0,0,0,0,2,0,0,0,7,3,BOX ELDER
6,30006,3,9,3.0,7,0,7,0,8,0,0,0,7,0,0,0,0,0,0,1,0,BOX ELDER
7,30007,36,107,2.9722222222222223,31,2,24,5,250,2,0,0,24,0,0,0,5,212,0,4,3,BOX ELDER
8,30008,46,151,3.282608695652174,55,17,0,38,62,17,0,0,0,36,0,0,2,0,0,4,3,BOX ELDER
9,30009,14,40,2.857142857142857,80,0,80,0,82,0,0,0,80,0,0,0,0,0,0,1,1,BOX ELDER
10,30010,20,59,2.95,83,0,83,0,86,0,0,0,83,0,0,0,0,0,0,2,1,BOX ELDER
11,30011,8,23,2.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
12,30012,16,50,3.125,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,BOX ELDER
13,30013,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
14,30014,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
15,30015,1,3,3.0,232,0,224,8,283,0,0,93,131,0,0,0,8,48,0,3,0,BOX ELDER
16,30016,1,3,3.0,91,0,72,19,97,0,0,6,66,0,0,0,19,0,0,6,0,BOX ELDER
17,30017,3,10,3.333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,BOX ELDER
18,30018,0,0,0.0,593,0,593,0,600,0,0,400,193,0,0,0,0,0,0,7,0,BOX ELDER
19,30019,225,738,3.28,25,15,9,1,49,15,0,0,9,1,0,0,0,0,0,14,10,BOX ELDER
20,30020,152,380,2.5,111,12,59,40,134,12,0,57,2,0,0,0,40,0,0,14,9,BOX ELDER
21,30021,0,0,0.0,365,0,365,0,370,0,0,330,35,0,0,0,0,0,0,5,0,BOX ELDER
22,30022,2,6,3.0,8,0,8,0,8,0,0,8,0,0,0,0,0,0,0,0,0,BOX ELDER
