;TAZID,;CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,CO_NAME
1,30001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
2,30002,17,43,2.5294117647058822,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,BOX ELDER
3,30003,27,71,2.6296296296296298,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,BOX ELDER
4,30004,1,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
5,30005,71,210,2.9577464788732395,2,0,0,2,15,0,0,0,0,0,0,2,0,0,0,9,4,BOX ELDER
6,30006,4,10,2.5,9,0,9,0,10,0,0,0,9,0,0,0,0,0,0,1,0,BOX ELDER
7,30007,44,116,2.636363636363636,37,2,29,6,255,2,0,0,29,0,0,0,6,209,0,5,4,BOX ELDER
8,30008,55,164,2.981818181818182,57,18,0,39,66,18,0,0,0,37,0,0,2,0,0,5,4,BOX ELDER
9,30009,17,44,2.588235294117647,97,0,97,0,100,0,0,0,97,0,0,0,0,0,0,2,1,BOX ELDER
10,30010,24,64,2.6666666666666665,100,0,100,0,104,0,0,0,100,0,0,0,0,0,0,3,1,BOX ELDER
11,30011,9,25,2.7777777777777777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
12,30012,19,55,2.8947368421052637,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,BOX ELDER
13,30013,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
14,30014,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
15,30015,1,3,3.0,272,0,263,9,322,0,0,106,157,0,0,0,9,47,0,3,0,BOX ELDER
16,30016,1,3,3.0,108,0,86,22,116,0,0,7,79,0,0,0,22,0,0,8,0,BOX ELDER
17,30017,4,11,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,BOX ELDER
18,30018,0,0,0.0,686,0,686,0,695,0,0,454,232,0,0,0,0,0,0,9,0,BOX ELDER
19,30019,270,800,2.962962962962963,28,16,11,1,58,16,0,0,11,1,0,0,0,0,0,17,13,BOX ELDER
20,30020,183,412,2.251366120218579,126,13,67,46,154,13,0,65,2,0,0,0,46,0,0,16,12,BOX ELDER
