;TAZID,;CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,CO_NAME
1,30001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
2,30002,15,41,2.7333333333333334,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,BOX ELDER
3,30003,25,68,2.72,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,BOX ELDER
4,30004,1,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
5,30005,65,201,3.0923076923076924,2,0,0,2,13,0,0,0,0,0,0,2,0,0,0,8,3,BOX ELDER
6,30006,4,9,2.25,8,0,8,0,9,0,0,0,8,0,0,0,0,0,0,1,0,BOX ELDER
7,30007,40,111,2.775,36,2,28,6,254,2,0,0,28,0,0,0,6,210,0,5,3,BOX ELDER
8,30008,50,157,3.14,55,17,0,38,64,17,0,0,0,36,0,0,2,0,0,5,4,BOX ELDER
9,30009,15,42,2.8,92,0,92,0,95,0,0,0,92,0,0,0,0,0,0,2,1,BOX ELDER
10,30010,22,62,2.8181818181818183,95,0,95,0,98,0,0,0,95,0,0,0,0,0,0,2,1,BOX ELDER
11,30011,8,24,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
12,30012,18,52,2.888888888888889,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,BOX ELDER
13,30013,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
14,30014,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
15,30015,1,3,3.0,257,0,248,9,308,0,0,99,149,0,0,0,9,48,0,3,0,BOX ELDER
16,30016,1,3,3.0,101,0,81,20,108,0,0,6,75,0,0,0,20,0,0,7,0,BOX ELDER
17,30017,4,10,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,BOX ELDER
18,30018,0,0,0.0,643,0,643,0,651,0,0,423,220,0,0,0,0,0,0,8,0,BOX ELDER
19,30019,246,766,3.113821138211382,26,15,10,1,54,15,0,0,10,1,0,0,0,0,0,16,12,BOX ELDER
20,30020,167,395,2.3652694610778444,118,12,63,43,143,12,0,61,2,0,0,0,43,0,0,15,10,BOX ELDER
21,30021,0,0,0.0,389,0,389,0,395,0,0,349,40,0,0,0,0,0,0,6,0,BOX ELDER
22,30022,2,6,3.0,8,0,8,0,8,0,0,8,0,0,0,0,0,0,0,0,0,BOX ELDER
23,30023,4,10,2.5,49,0,49,0,50,0,0,21,28,0,0,0,0,0,0,1,0,BOX ELDER
24,30024,145,453,3.1241379310344826,2,0,0,2,17,0,0,0,0,0,0,1,1,0,0,9,6,BOX ELDER
25,30025,319,988,3.11178247734139,139,5,2,132,191,5,0,0,2,1,111,16,4,0,0,31,21,BOX ELDER
26,30026,211,548,2.645739910313901,190,20,31,139,224,19,1,12,19,0,50,71,18,0,0,21,13,BOX ELDER
27,30027,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
28,30028,1,3,3.0,71,0,71,0,76,0,0,71,0,0,0,0,0,0,0,5,0,BOX ELDER
29,30029,249,740,2.9725490196078432,2,0,2,0,27,0,0,0,2,0,0,0,0,0,0,15,10,BOX ELDER
30,30030,306,648,2.169811320754717,99,13,8,78,153,13,0,0,8,41,0,28,9,0,0,32,22,BOX ELDER
31,30031,234,529,2.279166666666667,221,76,71,74,257,5,71,71,0,39,0,0,35,0,0,22,14,BOX ELDER
32,30032,111,283,2.6422764227642275,2,0,2,0,21,0,0,0,2,0,0,0,0,0,0,11,8,BOX ELDER
33,30033,166,364,2.2808988764044944,15,0,14,1,38,0,0,0,14,1,0,0,0,0,0,14,9,BOX ELDER
34,30034,207,538,2.6484018264840183,20,2,13,5,51,2,0,13,0,5,0,0,0,0,0,18,13,BOX ELDER
35,30035,295,708,2.44299674267101,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,26,18,BOX ELDER
36,30036,86,203,2.36046511627907,9,0,9,0,23,0,0,2,7,0,0,0,0,0,0,8,6,BOX ELDER
37,30037,0,0,0.0,135,0,124,11,135,0,0,0,124,0,0,0,11,0,0,0,0,BOX ELDER
38,30038,0,0,0.0,1318,0,1292,26,1561,0,0,1292,0,0,23,3,0,0,0,243,0,BOX ELDER
39,30039,66,195,2.9545454545454546,138,17,0,121,150,17,0,0,0,0,0,3,118,0,0,8,4,BOX ELDER
40,30040,308,653,2.171875,283,40,22,221,346,38,2,0,22,58,86,25,52,0,0,39,24,BOX ELDER
41,30041,118,258,2.1864406779661016,347,214,0,133,371,214,0,0,0,11,0,23,99,0,0,16,8,BOX ELDER
42,30042,72,156,2.1666666666666665,73,0,0,73,85,0,0,0,0,3,0,0,70,0,0,7,5,BOX ELDER
43,30043,199,473,2.440758293838863,81,0,2,79,113,0,0,0,2,0,41,38,0,0,0,19,13,BOX ELDER
44,30044,103,291,2.834862385321101,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,12,8,BOX ELDER
45,30045,99,279,2.8181818181818183,39,0,0,39,49,0,0,0,0,36,0,3,0,0,0,6,4,BOX ELDER
46,30046,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
47,30047,2,6,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
48,30048,9,27,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,BOX ELDER
49,30049,0,0,0.0,109,103,0,6,113,75,28,0,0,0,3,0,3,0,0,4,0,BOX ELDER
50,30050,4,10,2.5,272,1,53,218,727,1,0,11,42,33,137,44,4,0,0,455,0,BOX ELDER
51,30051,6,15,2.5,86,0,50,36,98,0,0,10,40,25,0,11,0,0,0,12,0,BOX ELDER
52,30052,55,117,2.1272727272727274,1676,0,197,1479,1714,0,0,197,0,0,0,22,1457,0,0,35,3,BOX ELDER
53,30053,258,542,2.121212121212121,1322,327,70,925,1379,288,39,5,65,62,361,58,444,0,0,42,15,BOX ELDER
54,30054,148,429,2.9025974025974026,630,55,17,558,668,12,43,16,1,90,234,70,164,0,0,26,12,BOX ELDER
55,30055,167,481,2.921787709497207,231,0,1,230,260,0,0,1,0,3,212,0,15,0,0,19,10,BOX ELDER
56,30056,42,119,2.833333333333333,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,2,BOX ELDER
57,30057,56,160,2.857142857142857,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,7,5,BOX ELDER
58,30058,0,0,0.0,75,0,75,0,94,0,0,75,0,0,0,0,0,0,0,19,0,BOX ELDER
59,30059,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
60,30060,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
61,30061,282,912,3.234042553191489,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,20,14,BOX ELDER
62,30062,210,676,3.234234234234234,15,2,0,13,47,2,0,0,0,0,0,0,13,0,0,19,13,BOX ELDER
63,30063,21,54,2.571428571428572,216,0,0,216,222,0,0,0,0,0,216,0,0,0,0,5,1,BOX ELDER
64,30064,237,768,3.234567901234568,139,74,0,65,175,0,74,0,0,0,0,45,20,0,0,22,14,BOX ELDER
65,30065,288,735,2.59,71,43,0,28,116,43,0,0,0,0,5,1,22,0,0,27,18,BOX ELDER
66,30066,150,303,2.02,118,74,0,44,148,53,21,0,0,0,0,7,37,0,0,18,12,BOX ELDER
67,30067,137,391,2.906040268456376,126,85,0,41,152,85,0,0,0,3,0,1,37,0,0,16,10,BOX ELDER
68,30068,186,542,2.913978494623656,40,0,1,39,71,0,0,0,1,0,0,22,17,0,0,18,13,BOX ELDER
69,30069,32,92,2.875,20,0,0,20,24,0,0,0,0,0,0,0,20,0,0,3,1,BOX ELDER
70,30070,113,228,2.017699115044248,24,0,0,24,39,0,0,0,0,8,0,1,15,0,0,9,6,BOX ELDER
71,30071,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
72,30072,95,275,2.900990099009901,83,2,4,77,98,2,0,0,4,0,0,4,73,0,0,9,6,BOX ELDER
73,30073,4,11,2.75,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,BOX ELDER
74,30074,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
75,30075,144,467,3.243055555555556,166,18,0,148,189,5,13,0,0,0,45,88,15,0,0,15,8,BOX ELDER
76,30076,95,307,3.231578947368421,7,0,0,7,19,0,0,0,0,0,0,5,2,0,0,7,5,BOX ELDER
77,30077,78,255,3.25,748,0,34,714,781,0,0,34,0,1,170,534,9,0,0,24,9,BOX ELDER
78,30078,450,1118,2.51082251082251,178,102,2,74,253,67,35,0,2,1,0,9,64,0,0,45,30,BOX ELDER
79,30079,45,112,2.488888888888889,352,167,0,185,368,62,105,0,0,14,62,89,20,0,0,11,5,BOX ELDER
80,30080,170,423,2.5056818181818183,278,112,0,166,306,30,82,0,0,22,128,0,16,0,0,18,10,BOX ELDER
81,30081,26,51,1.9615384615384612,161,0,0,161,177,0,0,0,0,0,62,0,99,0,0,11,5,BOX ELDER
82,30082,369,747,2.024390243902439,386,119,12,255,457,52,67,4,8,47,16,65,127,0,0,44,27,BOX ELDER
83,30083,0,0,0.0,198,186,0,12,201,77,109,0,0,0,0,0,12,0,0,3,0,BOX ELDER
84,30084,0,0,0.0,239,131,4,104,242,89,42,0,4,6,71,12,15,0,0,3,0,BOX ELDER
85,30085,46,141,3.065217391304348,140,3,22,115,148,3,0,0,22,5,0,68,42,0,0,6,2,BOX ELDER
86,30086,1,3,3.0,70,70,0,0,70,44,26,0,0,0,0,0,0,0,0,0,0,BOX ELDER
87,30087,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
88,30088,4,10,2.5,0,0,0,0,28,0,0,0,0,0,0,0,0,28,0,0,0,BOX ELDER
89,30089,74,228,3.081081081081081,321,274,10,37,331,3,271,0,10,0,0,0,37,0,0,8,2,BOX ELDER
90,30090,59,181,3.067796610169492,859,610,18,231,878,521,89,18,0,165,57,0,9,0,0,16,3,BOX ELDER
91,30091,223,689,3.0896860986547083,148,0,4,144,183,0,0,0,4,120,0,2,22,0,0,21,14,BOX ELDER
92,30092,232,718,3.0948275862068964,68,0,9,59,99,0,0,7,2,11,0,18,30,0,0,18,13,BOX ELDER
93,30093,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
94,30094,23,76,3.3043478260869565,10,0,9,1,13,0,0,0,9,1,0,0,0,0,0,2,1,BOX ELDER
