;TAZID,;CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,CO_NAME
1,30001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
2,30002,16,42,2.625,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,BOX ELDER
3,30003,27,70,2.592592592592593,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,BOX ELDER
4,30004,1,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
5,30005,69,207,3.0,2,0,0,2,15,0,0,0,0,0,0,2,0,0,0,9,4,BOX ELDER
6,30006,4,10,2.5,9,0,9,0,10,0,0,0,9,0,0,0,0,0,0,1,0,BOX ELDER
7,30007,43,114,2.6511627906976742,37,2,29,6,255,2,0,0,29,0,0,0,6,209,0,5,4,BOX ELDER
8,30008,54,162,3.0,57,18,0,39,66,18,0,0,0,37,0,0,2,0,0,5,4,BOX ELDER
9,30009,16,43,2.6875,97,0,97,0,100,0,0,0,97,0,0,0,0,0,0,2,1,BOX ELDER
10,30010,24,64,2.6666666666666665,101,0,101,0,105,0,0,0,101,0,0,0,0,0,0,3,1,BOX ELDER
11,30011,9,25,2.7777777777777777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
12,30012,19,54,2.8421052631578947,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,BOX ELDER
13,30013,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
14,30014,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
15,30015,1,3,3.0,272,0,263,9,323,0,0,105,158,0,0,0,9,48,0,3,0,BOX ELDER
16,30016,1,3,3.0,109,0,87,22,117,0,0,7,80,0,0,0,22,0,0,8,0,BOX ELDER
17,30017,4,11,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,BOX ELDER
18,30018,0,0,0.0,685,0,685,0,694,0,0,451,234,0,0,0,0,0,0,9,0,BOX ELDER
19,30019,265,792,2.988679245283018,28,16,11,1,58,16,0,0,11,1,0,0,0,0,0,17,13,BOX ELDER
20,30020,179,408,2.2793296089385477,125,13,67,45,152,13,0,65,2,0,0,0,45,0,0,16,11,BOX ELDER
21,30021,0,0,0.0,414,0,414,0,420,0,0,372,42,0,0,0,0,0,0,6,0,BOX ELDER
22,30022,3,6,2.0,9,0,9,0,9,0,0,9,0,0,0,0,0,0,0,0,0,BOX ELDER
23,30023,4,11,2.75,51,0,51,0,52,0,0,22,29,0,0,0,0,0,0,1,0,BOX ELDER
24,30024,157,468,2.9808917197452227,2,0,0,2,17,0,0,0,0,0,0,1,1,0,0,9,6,BOX ELDER
25,30025,320,938,2.9887640449438204,142,5,2,135,197,5,0,0,2,1,113,17,4,0,0,32,23,BOX ELDER
26,30026,204,483,2.5375,202,21,34,147,238,20,1,13,21,0,51,76,20,0,0,22,14,BOX ELDER
27,30027,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
28,30028,1,3,3.0,75,0,75,0,80,0,0,75,0,0,0,0,0,0,0,5,0,BOX ELDER
29,30029,256,729,2.8576642335766422,2,0,2,0,28,0,0,0,2,0,0,0,0,0,0,15,11,BOX ELDER
30,30030,306,587,2.084795321637427,103,14,9,80,161,14,0,0,9,42,0,29,9,0,0,34,24,BOX ELDER
31,30031,241,511,2.1814671814671813,227,74,76,77,265,5,69,76,0,40,0,0,37,0,0,23,15,BOX ELDER
32,30032,97,210,2.526315789473684,2,0,2,0,22,0,0,0,2,0,0,0,0,0,0,11,9,BOX ELDER
33,30033,156,293,2.1822916666666665,16,0,15,1,41,0,0,0,15,1,0,0,0,0,0,15,10,BOX ELDER
34,30034,200,474,2.542372881355932,20,2,13,5,53,2,0,13,0,5,0,0,0,0,0,19,14,BOX ELDER
35,30035,295,648,2.338368580060423,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,27,20,BOX ELDER
36,30036,92,210,2.282608695652174,10,0,10,0,25,0,0,2,8,0,0,0,0,0,0,9,6,BOX ELDER
