;TAZID,;CO_TAZID,CO_NAME,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ
1,30001,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,30002,BOX ELDER,23,53,2.3043478260869565,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1
3,30003,BOX ELDER,39,89,2.282051282051282,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1
4,30004,BOX ELDER,1,4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,30005,BOX ELDER,99,260,2.6262626262626263,2,0,0,2,19,0,0,0,0,0,0,2,0,0,0,11,6
6,30006,BOX ELDER,6,12,2.0,7,0,7,0,8,0,0,0,7,0,0,0,0,0,0,1,0
7,30007,BOX ELDER,62,144,2.3225806451612905,34,2,25,7,256,2,0,0,25,0,0,0,7,210,0,6,6
8,30008,BOX ELDER,77,203,2.6363636363636362,69,21,0,48,81,21,0,0,0,46,0,0,2,0,0,6,6
9,30009,BOX ELDER,23,54,2.347826086956522,85,0,85,0,88,0,0,0,85,0,0,0,0,0,0,2,1
10,30010,BOX ELDER,35,80,2.2857142857142856,88,0,88,0,93,0,0,0,88,0,0,0,0,0,0,4,1
11,30011,BOX ELDER,12,31,2.5833333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,30012,BOX ELDER,28,68,2.4285714285714284,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1
13,30013,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,30014,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,30015,BOX ELDER,1,4,4.0,271,0,261,10,323,0,0,123,138,0,0,0,10,48,0,4,0
16,30016,BOX ELDER,1,4,4.0,104,0,78,26,114,0,0,8,70,0,0,0,26,0,0,10,0
17,30017,BOX ELDER,6,14,2.3333333333333335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
18,30018,BOX ELDER,0,0,0.0,729,0,729,0,740,0,0,525,204,0,0,0,0,0,0,11,0
19,30019,BOX ELDER,380,994,2.6157894736842104,30,19,10,1,69,19,0,0,10,1,0,0,0,0,0,21,18
20,30020,BOX ELDER,257,512,1.9922178988326849,145,15,77,53,183,15,0,75,2,0,0,0,53,0,0,21,17
21,30021,BOX ELDER,0,0,0.0,470,0,470,0,477,0,0,433,37,0,0,0,0,0,0,7,0
22,30022,BOX ELDER,4,9,2.25,10,0,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0
23,30023,BOX ELDER,6,14,2.3333333333333335,51,0,51,0,52,0,0,25,26,0,0,0,0,0,0,1,0
24,30024,BOX ELDER,224,586,2.6160714285714284,2,0,0,2,24,0,0,0,0,0,0,1,1,0,0,12,10
25,30025,BOX ELDER,443,1128,2.54627539503386,167,7,2,158,240,7,0,0,2,1,131,21,5,0,0,40,33
26,30026,BOX ELDER,278,558,2.0071942446043165,227,24,33,170,275,23,1,15,18,0,59,88,23,0,0,28,20
27,30027,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,30028,BOX ELDER,1,4,4.0,87,0,87,0,93,0,0,87,0,0,0,0,0,0,0,6,0
29,30029,BOX ELDER,359,894,2.4902506963788302,2,0,2,0,38,0,0,0,2,0,0,0,0,0,0,19,17
30,30030,BOX ELDER,424,687,1.6202830188679245,119,16,7,96,197,16,0,0,7,52,0,34,10,0,0,43,35
31,30031,BOX ELDER,337,619,1.8367952522255193,260,78,89,93,311,6,72,89,0,50,0,0,43,0,0,29,22
32,30032,BOX ELDER,124,214,1.7258064516129032,2,0,2,0,28,0,0,0,2,0,0,0,0,0,0,13,13
33,30033,BOX ELDER,208,319,1.5336538461538463,14,0,13,1,47,0,0,0,13,1,0,0,0,0,0,18,15
34,30034,BOX ELDER,272,545,2.0036764705882355,24,2,16,6,67,2,0,16,0,6,0,0,0,0,0,23,20
35,30035,BOX ELDER,407,765,1.8796068796068797,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,34,29
36,30036,BOX ELDER,133,262,1.9699248120300752,8,0,8,0,29,0,0,2,6,0,0,0,0,0,0,11,10
37,30037,BOX ELDER,0,0,0.0,128,0,115,13,128,0,0,0,115,0,0,0,13,0,0,0,0
38,30038,BOX ELDER,0,0,0.0,1398,0,1490,-92,1717,0,0,1490,0,-121,26,3,0,0,0,319,0
39,30039,BOX ELDER,101,254,2.514851485148515,170,21,0,149,187,21,0,0,0,0,0,3,146,0,0,11,6
40,30040,BOX ELDER,428,694,1.6214953271028036,339,49,20,270,428,47,2,0,20,74,101,31,64,0,0,51,38
41,30041,BOX ELDER,182,335,1.8406593406593406,429,263,0,166,463,263,0,0,0,15,0,28,123,0,0,21,13
42,30042,BOX ELDER,110,202,1.8363636363636364,90,0,0,90,107,0,0,0,0,4,0,0,86,0,0,10,7
43,30043,BOX ELDER,260,460,1.7692307692307692,98,0,2,96,144,0,0,0,2,0,49,47,0,0,0,26,20
44,30044,BOX ELDER,135,313,2.3185185185185184,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,16,13
45,30045,BOX ELDER,152,362,2.3815789473684212,49,0,0,49,62,0,0,0,0,46,0,3,0,0,0,7,6
46,30046,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,30047,BOX ELDER,4,9,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,30048,BOX ELDER,14,36,2.5714285714285716,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
49,30049,BOX ELDER,0,0,0.0,127,121,0,6,132,92,29,0,0,0,3,0,3,0,0,5,0
50,30050,BOX ELDER,6,13,2.1666666666666665,316,1,52,263,914,1,0,14,38,41,162,55,5,0,0,598,0
51,30051,BOX ELDER,10,18,1.8,95,0,50,45,111,0,0,13,37,31,0,14,0,0,0,16,0
52,30052,BOX ELDER,86,151,1.755813953488372,2068,0,244,1824,2119,0,0,244,0,0,0,28,1796,0,0,45,6
53,30053,BOX ELDER,374,638,1.7058823529411764,1587,394,67,1126,1666,354,40,7,60,80,426,72,548,0,0,55,24
54,30054,BOX ELDER,204,491,2.406862745098039,761,59,22,680,813,15,44,21,1,115,276,87,202,0,0,34,18
55,30055,BOX ELDER,210,470,2.238095238095238,273,0,1,272,316,0,0,1,0,4,250,0,18,0,0,26,17
56,30056,BOX ELDER,65,154,2.3692307692307693,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,4
57,30057,BOX ELDER,87,207,2.3793103448275863,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,10,7
58,30058,BOX ELDER,0,0,0.0,93,0,93,0,119,0,0,93,0,0,0,0,0,0,0,26,0
59,30059,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,30060,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,30061,BOX ELDER,434,1181,2.7211981566820276,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,27,22
62,30062,BOX ELDER,276,724,2.6231884057971016,17,2,0,15,63,2,0,0,0,0,0,0,15,0,0,26,20
63,30063,BOX ELDER,33,70,2.121212121212121,256,0,0,256,263,0,0,0,0,0,256,0,0,0,0,6,1
64,30064,BOX ELDER,341,929,2.724340175953079,157,75,0,82,208,0,75,0,0,0,0,56,26,0,0,29,22
65,30065,BOX ELDER,396,800,2.0202020202020203,88,52,0,36,153,52,0,0,0,0,7,1,28,0,0,36,29
66,30066,BOX ELDER,232,393,1.6939655172413792,142,87,0,55,183,65,22,0,0,0,0,9,46,0,0,23,18
67,30067,BOX ELDER,163,355,2.1779141104294477,156,105,0,51,194,105,0,0,0,4,0,1,46,0,0,21,17
68,30068,BOX ELDER,287,702,2.445993031358885,49,0,1,48,92,0,0,0,1,0,0,27,21,0,0,23,20
69,30069,BOX ELDER,48,119,2.4791666666666665,26,0,0,26,31,0,0,0,0,0,0,0,26,0,0,4,1
70,30070,BOX ELDER,174,295,1.6954022988505748,29,0,0,29,51,0,0,0,0,10,0,1,18,0,0,12,10
71,30071,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,30072,BOX ELDER,123,291,2.3658536585365852,101,2,3,96,123,2,0,0,3,0,0,6,90,0,0,12,10
73,30073,BOX ELDER,6,15,2.5,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0
74,30074,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,30075,BOX ELDER,222,606,2.72972972972973,200,20,0,180,234,6,14,0,0,0,53,109,18,0,0,21,13
76,30076,BOX ELDER,146,398,2.7260273972602738,9,0,0,9,26,0,0,0,0,0,0,7,2,0,0,10,7
77,30077,BOX ELDER,97,265,2.731958762886598,916,0,43,873,962,0,0,43,0,1,200,662,10,0,0,32,14
78,30078,BOX ELDER,646,1296,2.0061919504643964,212,119,2,91,319,83,36,0,2,1,0,11,79,0,0,60,47
79,30079,BOX ELDER,69,145,2.101449275362319,411,184,0,227,433,76,108,0,0,18,73,110,26,0,0,15,7
