;TAZID,;CO_TAZID,CO_NAME,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ
1,30001,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,30002,BOX ELDER,26,57,2.1923076923076925,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1
3,30003,BOX ELDER,44,96,2.1818181818181817,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1
4,30004,BOX ELDER,2,4,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,30005,BOX ELDER,112,281,2.5089285714285716,2,0,0,2,20,0,0,0,0,0,0,2,0,0,0,12,6
6,30006,BOX ELDER,6,13,2.1666666666666665,7,0,7,0,8,0,0,0,7,0,0,0,0,0,0,1,0
7,30007,BOX ELDER,70,156,2.2285714285714286,33,2,24,7,253,2,0,0,24,0,0,0,7,207,0,7,6
8,30008,BOX ELDER,87,220,2.528735632183908,70,21,0,49,83,21,0,0,0,47,0,0,2,0,0,7,6
9,30009,BOX ELDER,26,59,2.269230769230769,82,0,82,0,86,0,0,0,82,0,0,0,0,0,0,3,1
10,30010,BOX ELDER,39,87,2.230769230769231,85,0,85,0,90,0,0,0,85,0,0,0,0,0,0,4,1
11,30011,BOX ELDER,14,33,2.357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,30012,BOX ELDER,31,73,2.3548387096774195,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1
13,30013,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,30014,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,30015,BOX ELDER,2,4,2.0,270,0,259,11,321,0,0,126,133,0,0,0,11,47,0,4,0
16,30016,BOX ELDER,2,4,2.0,101,0,75,26,111,0,0,8,67,0,0,0,26,0,0,10,0
17,30017,BOX ELDER,6,15,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
18,30018,BOX ELDER,0,0,0.0,737,0,737,0,749,0,0,540,197,0,0,0,0,0,0,12,0
19,30019,BOX ELDER,429,1074,2.5034965034965033,30,19,10,1,72,19,0,0,10,1,0,0,0,0,0,22,20
20,30020,BOX ELDER,290,554,1.910344827586207,148,15,79,54,189,15,0,77,2,0,0,0,54,0,0,22,19
21,30021,BOX ELDER,0,0,0.0,480,0,480,0,488,0,0,445,35,0,0,0,0,0,0,8,0
22,30022,BOX ELDER,5,9,1.8,11,0,11,0,11,0,0,11,0,0,0,0,0,0,0,0,0
23,30023,BOX ELDER,6,15,2.5,51,0,51,0,52,0,0,26,25,0,0,0,0,0,0,1,0
24,30024,BOX ELDER,253,634,2.505928853754941,2,0,0,2,26,0,0,0,0,0,0,1,1,0,0,13,11
25,30025,BOX ELDER,501,1219,2.4331337325349303,172,7,2,163,252,7,0,0,2,1,136,21,5,0,0,43,37
26,30026,BOX ELDER,314,603,1.9203821656050954,232,25,32,175,284,24,1,15,17,0,61,90,24,0,0,30,22
27,30027,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
