;TAZID,;CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,CO_NAME
1,30001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
2,30002,15,40,2.6666666666666665,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,BOX ELDER
3,30003,24,67,2.7916666666666665,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,BOX ELDER
4,30004,1,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
5,30005,62,198,3.193548387096774,2,0,0,2,13,0,0,0,0,0,0,2,0,0,0,8,3,BOX ELDER
6,30006,3,9,3.0,8,0,8,0,9,0,0,0,8,0,0,0,0,0,0,1,0,BOX ELDER
7,30007,38,109,2.8684210526315788,34,2,26,6,254,2,0,0,26,0,0,0,6,212,0,5,3,BOX ELDER
8,30008,49,155,3.163265306122449,55,17,0,38,63,17,0,0,0,36,0,0,2,0,0,5,3,BOX ELDER
9,30009,15,41,2.7333333333333334,88,0,88,0,90,0,0,0,88,0,0,0,0,0,0,1,1,BOX ELDER
10,30010,22,61,2.772727272727273,91,0,91,0,94,0,0,0,91,0,0,0,0,0,0,2,1,BOX ELDER
11,30011,8,24,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
12,30012,17,52,3.0588235294117645,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,BOX ELDER
13,30013,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
14,30014,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
15,30015,1,3,3.0,249,0,240,9,300,0,0,97,143,0,0,0,9,48,0,3,0,BOX ELDER
16,30016,1,3,3.0,98,0,78,20,105,0,0,6,72,0,0,0,20,0,0,7,0,BOX ELDER
17,30017,3,10,3.333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,BOX ELDER
18,30018,0,0,0.0,626,0,626,0,634,0,0,414,212,0,0,0,0,0,0,8,0,BOX ELDER
19,30019,238,755,3.172268907563025,26,15,10,1,52,15,0,0,10,1,0,0,0,0,0,15,11,BOX ELDER
20,30020,161,389,2.4161490683229814,115,12,61,42,139,12,0,59,2,0,0,0,42,0,0,14,10,BOX ELDER
21,30021,0,0,0.0,379,0,379,0,384,0,0,341,38,0,0,0,0,0,0,5,0,BOX ELDER
22,30022,2,6,3.0,8,0,8,0,8,0,0,8,0,0,0,0,0,0,0,0,0,BOX ELDER
23,30023,3,10,3.333333333333333,46,0,46,0,47,0,0,20,26,0,0,0,0,0,0,1,0,BOX ELDER
24,30024,140,446,3.185714285714285,2,0,0,2,16,0,0,0,0,0,0,1,1,0,0,8,6,BOX ELDER
25,30025,319,1015,3.1818181818181817,137,5,2,130,186,5,0,0,2,1,109,16,4,0,0,29,20,BOX ELDER
26,30026,215,581,2.702325581395349,186,20,30,136,218,19,1,11,19,0,49,69,18,0,0,20,12,BOX ELDER
27,30027,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
28,30028,1,3,3.0,69,0,69,0,74,0,0,69,0,0,0,0,0,0,0,5,0,BOX ELDER
29,30029,246,747,3.0365853658536586,2,0,2,0,26,0,0,0,2,0,0,0,0,0,0,14,10,BOX ELDER
30,30030,307,680,2.214983713355049,96,13,8,75,148,13,0,0,8,40,0,26,9,0,0,31,21,BOX ELDER
31,30031,232,539,2.3232758620689653,218,75,70,73,252,5,70,70,0,39,0,0,34,0,0,21,13,BOX ELDER
32,30032,119,320,2.689075630252101,2,0,2,0,20,0,0,0,2,0,0,0,0,0,0,10,8,BOX ELDER
33,30033,172,400,2.3255813953488373,15,0,14,1,37,0,0,0,14,1,0,0,0,0,0,13,9,BOX ELDER
34,30034,212,572,2.69811320754717,19,2,12,5,48,2,0,12,0,5,0,0,0,0,0,17,12,BOX ELDER
35,30035,297,739,2.4882154882154883,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,24,18,BOX ELDER
36,30036,83,200,2.409638554216868,9,0,9,0,23,0,0,2,7,0,0,0,0,0,0,8,6,BOX ELDER
37,30037,0,0,0.0,129,0,119,10,129,0,0,0,119,0,0,0,10,0,0,0,0,BOX ELDER
38,30038,0,0,0.0,1289,0,1264,25,1518,0,0,1264,0,0,22,3,0,0,0,229,0,BOX ELDER
39,30039,63,193,3.063492063492064,134,17,0,117,145,17,0,0,0,0,0,3,114,0,0,8,3,BOX ELDER
40,30040,309,685,2.216828478964401,272,38,20,214,332,37,1,0,20,57,84,23,50,0,0,37,23,BOX ELDER
41,30041,114,254,2.2280701754385963,339,210,0,129,362,210,0,0,0,11,0,22,96,0,0,15,8,BOX ELDER
42,30042,69,154,2.231884057971014,71,0,0,71,83,0,0,0,0,3,0,0,68,0,0,7,5,BOX ELDER
43,30043,204,508,2.4901960784313726,79,0,2,77,109,0,0,0,2,0,41,36,0,0,0,18,12,BOX ELDER
44,30044,105,305,2.9047619047619047,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,11,8,BOX ELDER
45,30045,95,275,2.8947368421052637,39,0,0,39,47,0,0,0,0,36,0,3,0,0,0,5,3,BOX ELDER
46,30046,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
47,30047,2,6,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
